2me	@9lq,@9lr,@9ls,@9lt,@9lu,@9lv,@9lx
2n	sons
3ata	sonatas
3g	songs
3net	sonneted,sonneting,sonnets
2ot	sooted,sooting,soots
4he	soothed,soothes,soothing
2p	sopped,@9mf,sops
3hism	sophisms
6ticate	@9ma,sophisticates,sophisticating
cd	dp,@9m9,@ax7
bion	sophistications
7ry	sophistries
3ping	@51t,@9m7
2rcery	sorceries
3e	sorer,sores
3row	sorrowed,@9mk,sorrowing,sorrows
4y	sorrier
3t	sorted,sorting,sorts
2ul	souls
3nd	sounded,sounder,sounding,sounds
5proof	soundproofed,soundproofing,soundproofs
3p	souped,souping,soups
3r	soured,sourer,sourest,souring,sours
4ce	@7e0,sourced,@9mt,sourcing
6s	s,@9ms
3se	soused,souses,sousing
3venir	@9n1
8s	s,@9n0
2vereign	sovereigns,@9n3
9ty	sovereignties
3iet	soviets
2w	sowed,sowing,sown,sows
2ybean	soybeans
1pace	spaced,spaces,@9nb,spacing,@9nc
5craft	spacecrafts
5ship	spaceships
3de	spaded,spades,spading
3n	dp,spanned,spanning,spans
4gle	spangled,spangles,spangling
4k	spanked,@9nk,spanks
5ing	@51t,@9nj,spankings
3re	spared,spares,@9nm,@9nn
4ing	@51t,@9nl,@9nn
4k	sparked,sparking,sparks
5le	sparkled,sparkles,sparkling
4ring	@51t,spar
5ow	sparrows
4se	@9nt,sparser,sparsest
4tan	spartans
3t	pd,spats,spatted,spatting,@9pt
4e	spates
4ula	spatulas
3wn	spawned,spawning,spawns
2eak	@9o2,@9o3,speaks,@9q6,@9q7
5er	speakers
5ing	@51t,@9o1,speakings
4r	speared,spearing,spears
3cial	@9o6,@9o7,@9o8,@9o9,@9oa,specials,@9ob
7ist	specialists,@9o7,@9ob
8ty	specialities
8ze	@9o9,specializes,specializing
ad	dp
7ty	specialties
5es	@a08
5fic	@9oe,@9of,@9og
8ation	specifications
8s	s,@9od
7ed	dp,@9oi
6y	@9oh,specifies,specifying
5men	specimens
4k	specked,specking,specks
4tacle	spectacled,spectacles
7ular	@9oo,spectaculars
6tor	spectators
5ra	s,@9ot
6um	@9or
4ulate	speculated,speculates,speculating,@9ov,@9ow
8ion	speculations
3ech	speeches
4d	sped,speeded,speeding,speeds,@9oz
5y	speedier,speediest
3ll	@9p2,spells,spelt
5ing	@51t,@9p1,spellings
3nd	@9p4,spends,spent
5ing	@51t,@9p3
5thrift	spendthrifts
3w	spewed,spewing,spews
2here	spheres,@9p8
2ice	spiced,spices,spicing,@9pa
4y	spicier,spiciest
3der	spiders
3ke	spiked,spikes,spiking,@9pd
4y	spikier
3ll	spilled,spilling,spills
3n	@9pn,spins,spun
4e	@9ph,@9pl,spines,@9po
5t	spinets
4ning	@51t,@9pf
3ral	@8uq,spiralled,spiralling,spirals
4e	spires,spiring
4it	spirited,spiriting,spirits,@9ps
6ual	spirituals
3t	pd,@9nw,spits,spitting
4e	spited,spites,spiting
2lash	splashed,splashes,splashing
3een	spleens
4ndor	splendors
3ice	spliced,splices,splicing
4nt	splinted,splinting,splints
4t	dp,splits,splitting
3urge	splurged,splurges,splurging
2oil	spoiled,spoiling,spoils,@ax9
3ke	p,@9o1,spoked,spokes,spoking
5n	d,@9o1
5sman	spokesmen
3nge	sponged,sponges,sponging,@9qa
4sor	sponsored,sponsoring,sponsors
4taneous	@9qe
3of	spoofed,spoofing,spoofs
4l	spooled,spooling,spools
4n	spooned,@9qi,spooning,@9qj
5ful	spoonfuls
5s	s3,@9qh
3radic	@9qm
4t	sported,sporting,@9qo
5s	s3,@9qn
6man	sportsmen
3t	@9qs,spots,spotted,spotting
4light	spotlighted,spotlighting,spotlights
3use	spouses
4t	spouted,spouting,spouts
2rain	sprained,spraining,sprains
4wl	sprawled,@9qy,sprawls
6ing	@51t,@9qx
4y	sprayed,spraying,sprays
3ead	dp,spreading,spreads
3ig	sprigged,sprigging,sprigs
5htly	sprightlier
4ng	@ce,sprang,springing,springs,sprung
6board	springboards
5kle	sprinkled,sprinkles,sprinkling
5t	sprinted,sprinting,sprints
3out	sprouted,sprouting,sprouts
3uce	spruced,spruces,sprucing
2unk	spunking
3r	spurred,spurring,spurs
4n	spurned,spurning,spurns
4t	spurted,spurting,spurts
2y	spied,spies,spying
1quabble	squabbled,squabbles,squabbling
4d	squads
4ll	squalled,squalling,squalls
5or	@1bq,squalors
4nder	squandered,squandering,squanders
4re	squared,@9ro,squares,squaring
4sh	squashed,squashes,squashing
4t	squats,squatted,squatting
3eak	squeaked,squeaking,squeaks
4eze	squeezed,squeezes,squeezing
4lch	squelched,squelches,squelching
3id	squids
4nt	squinted,squinting,squints
4rrel	squirrelled,squirrelling,squirrels
